  0.51757660E+00 -0.21950077E+01	    0.3300   -2.1950
  0.54222311E+00 -0.21967185E+01	    0.3457   -2.1968
  0.56686961E+00 -0.21983187E+01	    0.3614   -2.1984
  0.59151612E+00 -0.21997955E+01	    0.3771   -2.1999
  0.61616262E+00 -0.22010602E+01	    0.3928   -2.2011
  0.64080913E+00 -0.21475521E+01	    0.4086   -2.1493
  0.66545563E+00 -0.20371815E+01	    0.4243   -2.0391
  0.69010214E+00 -0.19267528E+01	    0.4400   -1.9282
  0.71474864E+00 -0.18165211E+01	    0.4557   -1.8173
  0.73939515E+00 -0.17150528E+01	    0.4714   -1.7151
  0.76444021E+00 -0.17909704E+01	    0.4874   -1.7921
  0.78948528E+00 -0.18745785E+01	    0.5033   -1.8767
  0.81453034E+00 -0.19568027E+01	    0.5193   -1.9603
  0.83957541E+00 -0.20366902E+01	    0.5353   -2.0422
  0.86462047E+00 -0.21140925E+01	    0.5512   -2.1214
  0.88966553E+00 -0.21886655E+01	    0.5672   -2.1964
  0.91471060E+00 -0.22035957E+01	    0.5832   -2.2038
  0.93975566E+00 -0.22036175E+01	    0.5991   -2.2037
  0.96480073E+00 -0.22036277E+01	    0.6151   -2.2036
  0.98984579E+00 -0.22035510E+01	    0.6311   -2.2033
  0.10148909E+01 -0.22032792E+01	    0.6470   -2.2030
  0.10399359E+01 -0.22027689E+01	    0.6630   -2.2026
  0.10649810E+01 -0.22020653E+01	    0.6790   -2.2020
  0.10900260E+01 -0.22012497E+01	    0.6950   -2.2014
  0.11150711E+01 -0.22003725E+01	    0.7109   -2.2005
  0.11401162E+01 -0.21994391E+01	    0.7269   -2.1996
  0.11651612E+01 -0.21984491E+01	    0.7429   -2.1985
  0.11902063E+01 -0.21974257E+01	    0.7588   -2.1974
  0.12152514E+01 -0.21964083E+01	    0.7748   -2.1963
  0.12402964E+01 -0.21954387E+01	    0.7908   -2.1952
  0.12653415E+01 -0.21945602E+01	    0.8067   -2.1943
